,D,m3C,Um,s2C,s2U,ho5U,m5D,I,f5C,m4Cm,f5U,m5Um,hm5C,m5s2U,mo5U,Qbase,m1A,m1I,ac4C,m42Cm,f5Um,mnm5U,f5s2U,nm5s2U,m6Am,m1Im,m1G,ac4Cm,ncm5U,cm5U,mnm5s2U,preQ0,m1Gm,ncm5Um,mcm5U,cmo5U,imG-14,G+,m22Gm,mcm5s2U,mcmo5U,i6A,nm5se2U,acp3U,cmnm5s2U,mnm5se2U,io6A,acp3Um,g6A,k2C,ms2i6A,ms2io6A,Q,t6A,m6t6A,yW-58,ms2t6A,ms2hn6A,Ar(p),Gr(p),yW,galQ
S. cerevesiae-trf4 (R4),1.093735808,0.897173029,0.746523767,,,,,0.093364638,,,,,,,,,0.438574221,,0.544454226,,,,,0.022599177,0.058822225,,1.070743291,,0.03103811,,,,0.290106209,,0.012872949,,,,,0.029214443,,0.053959111,,,,,,,,,,,,0.069907265,,,,,0.003826127,,,
S. cerevesiae-trf4 (R5),1.155713825,0.955671829,0.785079819,,,,,0.101193055,,,,,,,,,0.456870959,,0.541556174,,,,,0.017465294,0.072601477,,1.132536819,0.006041869,0.033477898,,,,0.324907292,,0.021724316,,,,,0.032157271,,0.06547009,,,,,,,,,,,,0.074846543,,,,,,,0.005216477,
S. cerevesiae-trf4 (R6),1.057139034,0.914912733,0.715878751,,,,,0.098640821,,,,,,,,,0.461184072,0.023353915,0.532838855,,,,,,0.061236324,,1.090529079,,0.03533355,,0.003759566,,0.31319098,0.005575628,0.023322055,,,,,0.010291016,,0.054258824,,,,,,,,,,,,0.087298401,,,,,0.010673345,,,
S. cerevesiae-trf4 (R7),0.994044617,0.975164866,0.755271297,,,,,0.093748663,,,,,,,,,0.463461317,0.023024086,0.551711286,,,,,,0.081153133,,1.086438921,,0.033533905,,,,0.319249274,,0.01917771,,,,,0.023186609,,0.060241845,,,,,,,,,,,,0.074652214,,,,,0.005905001,,0.006094611,
S. cerevesiae-trf4 (R8),1.094022884,0.951851582,0.716669675,,,,,0.100761488,,,,,,,,,0.421920791,0.023934442,0.542813047,,,,,,0.053933233,,1.076583396,,0.038790302,,,,0.293205884,,0.01600414,,,,,,,0.029352884,,,,,,,,,,,,0.065057186,,,,,0.00983214,,,
S. cerevesiae-trf4 (R9),0.947992486,0.962931439,0.760976755,,,,,0.086493308,,,,,,,,,0.46210965,,0.54472881,,,,,,0.090484856,,1.050862879,0.005635126,0.032167175,,,,0.307701338,,0.02119042,,,,,,,0.061311341,,,,,,,,,,,,0.065068091,,,,,,,0.007337403,
S. cerevesiae-trf4 (R10),0.612071933,0.629647381,0.545592106,,,,,0.05275424,,,,,,,,,0.43969306,,0.510245928,,,,,,0.053144806,,0.783474393,,0.015929493,,,,0.178878999,,,,,,,0.019221402,,0.03498351,,,,,,,,,,,,0.043520156,,,,,,,,
S. cerevesiae-trf4 (R11),1.026737155,0.955281083,0.774398168,,,,,0.089148769,,,,,,,,,0.451911372,,0.549096613,,,,,0.007974174,0.080645061,,1.068258926,0.004173982,0.031024519,,,,0.309622211,,,,,,,0.019966583,,0.062453977,,,,,,,,,,,,0.066160722,,,,,0.003582148,,0.005575692,
S. cerevesiae-trf4 (R12),0.911383478,0.983731267,0.724140115,,,,,0.085923347,,,,,,,,,0.465252574,0.044989729,0.531516195,,,,,,0.11017724,,1.039233776,,0.020197781,,,,0.305118937,,0.00600139,,,,,,,0.057985843,,,,,,,,,,,,0.058979176,,,,,,,,
S. cerevesiae-trf4 (R13),0.917739494,0.974585776,0.745342212,,,,,0.087958689,,,,,,,,,0.463122286,,0.554732256,,,,,,0.091675562,,1.063878167,0.007215105,0.032599156,,0.006078179,,0.319388649,,0.015435952,,,,,0.029275835,,0.064848489,,,,,,,,,,,,0.065395088,,,,,0.005903268,0.004831934,0.010407242,
S. cerevesiae-trf4 (R14),1.085372708,0.99317443,0.762803235,,,,,0.10304114,,,,,,,,,0.470996703,,0.550722295,,,,,,0.078480587,,1.146400589,,0.036467328,,0.009597857,,0.352743866,0.006474026,0.029336845,,,,,0.007107847,,0.07347793,,,,,,,,,,,,0.07635276,,,,,0.006315571,,0.013378144,
S. cerevesiae-trf4 (R15),0.876381805,0.958197533,0.742259906,,,,,0.075595979,,,,,,,,,0.440588383,0.014905478,0.542707344,,,,,0.02186502,0.089789063,,0.995050231,,0.027892971,,0.006603346,,0.270024783,,0.005425155,,,,,0.010083117,,0.045483627,,,,,,,,,,,,0.053045964,,,,,,0.004109966,,
S. cerevesiae-trf4 (R16),1.140354247,1.029336686,0.949238337,,,,,0.104583773,,,,,,,,,0.442195653,0.022147969,0.552912354,,,,,,0.054710343,,1.149032918,0.007961234,0.037885292,,,,0.328100056,0.007104939,0.032006939,,,,,,,0.035362692,,,,,,,,,,,,0.077946039,,,,,0.009025818,0.004489766,,
S. cerevesiae-trf4 (R17),1.270431125,1.007459988,0.820105967,,,,,0.110584568,,,,,,,,,0.466418133,0.021059943,0.546008823,,,,,,0.077762846,,1.220681977,,0.032623044,,,,0.349277167,,0.018675798,,,,,0.045894781,,0.068822304,,,,,,,,,,,,0.089008061,,,,,0.005125911,,,
S. cerevesiae-trf4 (R18),1.347616579,1.072875981,0.847893429,,,,,0.125126351,,,,,,,,,0.488839641,0.028875312,0.551895975,,,,,,0.071116934,,1.275717393,,0.03867047,,,,0.388575308,,0.013128234,,,,,0.038568438,,0.080844071,,,,,,,,,,,,0.0924078,,,,,0.008264665,,0.011733784,
S. cerevesiae-trf4 (R19),1.060298079,0.976672425,0.749976107,,,,,0.100815372,,0.006725449,,,,,,,0.482307643,,0.554384993,,,,,,0.080373546,,1.137574378,0.011835906,0.034578544,,,,0.357267379,0.005021964,0.024667356,,,,,0.022654146,,0.07811698,,,,,,,,,,,,0.078448828,,,,,0.00971208,0.002898138,0.01581808,
S. cerevesiae-trf4 (R20),1.146782897,1.005227548,0.772134833,,,,,0.10875767,,0.0081335,,,,,,,0.490991591,0.025840595,0.556302986,,,,,,0.077846314,,1.187774924,0.014076431,0.03874061,,,,0.378461276,,0.027057578,,,,,0.036184946,,0.084316604,,,,,,,,,,,,,,,,,,,,
S. cerevesiae-trf4 (R21),1.061231566,0.969358276,0.774139618,,,,,0.096481456,,,,,,,,,0.455016085,,0.543344632,,,,,0.004801515,0.079176666,,1.092779778,,0.030645913,,,,0.323925049,,0.016531392,,,,,0.035189629,,0.067672364,,,,,,,,,,,,0.069444735,,,,,,,0.008475158,
S. cerevesiae-trf4 (R22),0.973128029,0.927631134,0.752285866,,,,,0.086408831,,,,,,,,,0.46313958,,0.542406457,,,,,0.009610778,0.094785198,,1.073291736,,0.030742734,,,,0.316156394,0.006083887,0.020309014,,,,,0.008258803,,0.062543535,,,,,,,,,,,,0.066305552,,,,,,,0.007582816,
S. cerevesiae-trf4 (R23),1.003650854,0.982700451,0.810879024,,,,,0.085277983,,,,,,,,,0.472579227,,0.517784291,,,,,,0.092378623,,1.043091042,,0.021653437,,,,0.30764753,,,,,,,0.022918897,,0.059125131,,,,,,,,,,,,0.05785967,,,,,,,,
S. cerevesiae-trf4 (R24),1.466879811,1.092851615,0.876296829,,,,,0.128548152,,,,,,,,,0.485382744,,0.546656594,,,,,0.007654423,0.081275358,,1.345178329,0.005269628,0.041118484,,,,0.416646793,,0.026886642,,,,,0.052196242,,0.086083412,,,,,,,,,,,,0.099084393,,,,,0.008192925,,0.011923976,
S. cerevesiae-trf4 (R25),1.402126558,1.103431254,0.871440491,,,,,0.128300103,,,,,,,,,0.48409363,0.027991441,0.543710363,,,,,,0.087824047,,1.321606191,0.007411616,0.042203034,,,,0.410337261,,0.024357591,,,,,0.034395653,,0.087752089,,,,,,,,,,,,0.091313982,,,,,0.00644019,,0.01176504,
