,D,m3C,Um,s2C,s2U,ho5U,m5D,I,f5C,m4Cm,f5U,m5Um,hm5C,m5s2U,mo5U,Qbase,m1A,m1I,ac4C,m42Cm,f5Um,mnm5U,f5s2U,nm5s2U,m6Am,m1Im,m1G,ac4Cm,ncm5U,cm5U,mnm5s2U,preQ0,m1Gm,ncm5Um,mcm5U,cmo5U,imG-14,G+,m22Gm,mcm5s2U,mcmo5U,i6A,nm5se2U,acp3U,cmnm5s2U,mnm5se2U,io6A,acp3Um,g6A,k2C,ms2i6A,ms2io6A,Q,t6A,m6t6A,yW-58,ms2t6A,ms2hn6A,Ar(p),Gr(p),yW,galQ
HEK (R13),0.4573,0.7995,0.4362,,,,,0.0369,,,,0.0353,,,,,0.2667,,0.6557,,,,,,0.0241,,0.5814,0.0033,0.0033,,,,0.1405,,,,,,,0.0007,,0.0021,,0.0628,,,,,,0.0068,,,0.0046,0.0656,0.0007,,0.0005,,,,,0.0132
HEK (R14),0.3542,0.7035,0.4336,,,,0.0094,0.0316,0.0169,,,0.0296,,,,,0.3129,,0.6224,,,,,,0.0169,,0.5682,,,,,,0.108,,,,,0.0143,,,,,,0.044,,,,,,0.0116,,,0.0029,0.0534,,,,,,,,0.0112
HEK (R15),0.295,0.6601,0.3984,,,,,0.0304,0.0022,,,0.025,,,,,0.3016,,0.626,,,,,,0.0219,,0.5399,,,,,,0.0847,,,,,,,,,,,0.0406,,,,,,0.0077,,,0.0024,0.0454,,,,,,,,0.0068
HEK (R16),0.6452,0.9365,0.4803,,,,,0.0295,0.0088,,,0.047,,,,,0.2568,,0.667,0.0013,,,,,0.0235,,0.5975,,,,,,0.1887,,0.0003,,,0.004,,,0.0017,0.0031,,0.0878,,,,,,0.0163,,,0.0081,0.0963,,,0.0008,,,,,0.0181
HEK (R17),0.5406,0.8386,0.4325,,,,,0.0267,0.0144,,,0.0429,,,,,0.2636,,0.6594,0.001,0.0006,,,,0.0197,,0.5889,,,,,,0.1604,,0.0139,,,0.007,,,,0.0027,,0.0786,,,,,,0.0128,,,0.008,0.0825,,,0.0011,,,,,0.0186
HEK (18),0.2564,0.6762,0.4758,,,,,0.0267,,,,0.0219,,,,,0.4588,,0.5776,,,,,,0.0225,,0.6358,,,,,,0.0791,,,,,0.0024,0.0032,,0.0004,,,0.034,,,,0.0132,,0.0139,,,0.0023,0.0476,,,,,,,,0.0043
HEK (R19),0.511,0.8413,0.4476,,,,,0.0431,,,,0.0391,,,,,0.3221,,0.6455,,,,,,0.023,,0.637,,,,,,0.1577,,,,,,,,0.0014,0.0011,,0.0725,,,,,,0.0085,,,0.0078,0.0758,,,,,,,,0.0151
HEK (R20),0.3971,0.8535,0.5393,,,,,0.0425,,,,0.0298,,,,,0.5738,,0.5706,,,,,,0.0232,,0.7548,,,,,,0.1234,,,,,,0.0045,,,,,0.0524,,,,0.0153,,0.0081,,,0.0058,0.0663,,,,,,,,0.015
HEK (R21),0.5193,0.9053,0.5233,,,,,0.0551,,,,0.0412,,,,,0.4048,,0.6096,,,,,,0.0271,,0.6694,,,,,,0.1659,,,,,,,,0.0023,0.0013,,0.0749,,,,0.0005,,0.013,,,0.0125,0.086,0.0009,,,,,,,0.023
HEK (R22),0.355,0.7455,0.4282,,,,,0.0318,,,,0.0328,,,,,0.3062,,0.6002,,,,,,0.0222,,0.5394,,,,,,0.1097,,,,,,,,,,,0.0508,,,,,,0.0167,,,0.004,0.0562,,,,,,,,0.0138
